text,replyToSN,screenName,retweetCount,isRetweet
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,MalBJones,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,WhosYourChubby,4911,TRUE
RT @BernardineEvari: So this week I was awarded the Gold Medal of Honorary Patronage by the Philosophical Society (est 1683 &amp; the world's o…,,NewhamBookshop,15,TRUE
RT @prayerfeathers: @Oxfordsonly @realDonaldTrump @MZHemingway I'm voting for #JoeBiden because he cares about me. https://t.co/3X0gfteW9r,,colinjgriffith1,4,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,deborahleerose,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,wilmastewart1,3881,TRUE
RT @LevinaNeythiri: This is how #JoeBiden hurt #ISRO. 👇There were back to back attempts to sabotage ISRO’s projects. My video about—Joe Bid…,,sandipsc,433,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,rayuriarte6,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,allegro572,4911,TRUE
"RT @SandraSentinel: Facebook and Twitter and Google have interfered in election more than Russia and China.

Makes one wonder is Russia and…",,AlanSmi96749586,201,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,arturosans,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,rizwan_alvi74,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,Diana_SSaba,4911,TRUE
RT @BernardineEvari: So this week I was awarded the Gold Medal of Honorary Patronage by the Philosophical Society (est 1683 &amp; the world's o…,,sarahpbroadley,15,TRUE
RT @LevinaNeythiri: This is how #JoeBiden hurt #ISRO. 👇There were back to back attempts to sabotage ISRO’s projects. My video about—Joe Bid…,,aware_bharat,433,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,MaximoHalty,4911,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,snapsterbo,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,ruth_graver,3881,TRUE
RT @RealJamesWoods: Sharpshooter #JoeBiden: “Shoot ‘em in the leg!”  https://t.co/4sLt3Ij4tD,,swetschkow,3232,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,iam_Tobiismail,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,veeroom,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,LoriHiz5,3881,TRUE
"RT @sjs856: Lift Every Voice: Why Black People Should Vote For Joe Biden and Kamala Harris

@SymoneDSanders 

#DrewComments #BidenHarris202…",,Anootchka,645,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,therealinfranca,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,Dent29Dent,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,BasiliskA16,4911,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,Box18org,4911,TRUE
"RT @SandraSentinel: Facebook and Twitter and Google have interfered in election more than Russia and China.

Makes one wonder is Russia and…",,Joecobras1,201,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,TLMaitre2015,3881,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,UchennaAnieze,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,Janiceperalta2,4911,TRUE
RT @BernardineEvari: So this week I was awarded the Gold Medal of Honorary Patronage by the Philosophical Society (est 1683 &amp; the world's o…,,SandriCollins,15,TRUE
"RT @derekjames150: The #DonaldTrump years have been disastrous. But, on the plus side, it has served as a wake up call for western democrac…",,MalgorzataWhor1,74,TRUE
@YouTube closes an account that posted videos about #Benghazi evidence against #ClintonCrimeFamily and #JoeBiden… https://t.co/Q8PGvOzieF,YouTube,TooOldForThisS8,0,FALSE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,shrewofFate,3881,TRUE
RT @TerlouwArie: @erikmouthaanRTL Ah Erik...nu ik u toch spreek : Hoe zit het nou met al die verhalen rond #HillaryClinton #HunterBiden #Jo…,,nitrotrumpet,4,TRUE
RT @moneycontrolcom: #USElectionsTracker: US President Donald Trump is counting on the states where he won heavily in 2016 as the campaign…,,AjayNisahd,1,TRUE
RT @WilkowMajority: If #Twitter won't let you post the link....Save this image and then post it. #HunterBidenEmails #HunterBiden #JoeBiden…,,Audrey850,714,TRUE
"RT @SandraSentinel: Facebook and Twitter and Google have interfered in election more than Russia and China.

Makes one wonder is Russia and…",,samaxe71266965,201,TRUE
RT @JackieEco: How to DESTROY rump!!#DumpTrump #VoteBlueToSaveOurDemocracy #VoteEarly #VoteInPerson #VoteBlue #Resist #Politics #CNN #Presi…,,JackieEco,1,TRUE
@tomselliott @JoeBiden Does #JoeBiden not give a fig for Hunter's legs?!?,tomselliott,utopianindigent,0,FALSE
RT @RealJamesWoods: Sharpshooter #JoeBiden: “Shoot ‘em in the leg!”  https://t.co/4sLt3Ij4tD,,janicestweets,3232,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,JosephR1201,3881,TRUE
RT @hermannkelly: Big Tech is a big danger to Irish democracy. Twitter censoring then lying about #JoeBiden and #Ukraine. Clear evidence he…,,Marie61172377,8,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,gashigar1,4911,TRUE
RT @BetteMidler: Tonight a woman in the audience of Trump's town hall began her question by telling him he has a great smile &amp; he's so hand…,,CrowleysLambert,3881,TRUE
RT @BetteMidler: OMG!  #JoeBiden speaks like a human being!  And he’s actually answering the questions!  It’s so exciting!  How we have mis…,,kdp59,4911,TRUE
RT @RealJamesWoods: Sharpshooter #JoeBiden: “Shoot ‘em in the leg!”  https://t.co/4sLt3Ij4tD,,thezafrican,3232,TRUE
