text,replyToSN,screenName,retweetCount,isRetweet
"RT @GaryCoby: YES! Watch... @GamebredFighter 

#MAGA #SuperBowl 

https://t.co/2bgAdkMFJv",,Trevor90666770,15029,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,NancyD11111,1961,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,josephhan37,24414,TRUE
RT @DanScavino: IOWA! #MAGA🇺🇸🦅 https://t.co/2lNNNaB2rg,,GIZMO7266,3814,TRUE
@SupremeEagleQ @2Fre3dom @prayingmedic Underestimation of Trump is a big mistake..but also his “secret” weapon ...t… https://t.co/gvgsPZfixk,SupremeEagleQ,zepharym,0,FALSE
"RT @matteosalvinimi: Amici, chi vincerà secondo voi negli Stati Uniti??? 🇺🇸🇮🇹
#Trump2020 #MAGA #MAGA2020
#Elections2020 #VOTE https://t.co/…",,tmarina5,303,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,reinhardheyer1,24414,TRUE
"RT @DanScavino: A great night in Miami, Florida for President Trump! Just departed the venue a few moments ago! Check out @TeamTrump for hi…",,petesploota,4552,TRUE
RT @LouDobbs: Stonewalling: @jasoninthehouse says FBI Director Wray and AG Barr are doing nothing while senate Republicans work to expose t…,,ScottMo29693659,727,TRUE
"RT @DaisyCousens: Well well, looks like my little tweet earned itself a retweet by President Trump himself! Best day ever! 😃 @realDonaldTru…",,Crow31Darkness,101,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,65_range,1961,TRUE
"RT @DanScavino: A great night in Miami, Florida for President Trump! Just departed the venue a few moments ago! Check out @TeamTrump for hi…",,perseuswarrior,4552,TRUE
"RT @mikandynothem: Joe Biden calls himself the moral candidate?
I think not...
#CrookedJoeBiden #JoeBidenUkraineScandal 
#MAGA #FoxNews htt…",,Larry0512,1641,TRUE
"@anniefreyshow @ma_liky_ TRUMPER ! 
#MAGA",anniefreyshow,cderbs,0,FALSE
RT @AntonKreil: #MAGA https://t.co/7zorvTIf1w,,C_M_B_B,11,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,Patrice_namp,24414,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,gigli110,24414,TRUE
@Redistrict I'd vote for (L) Jo Jorgonson LONG before voting for Progressive Marxists !  #MAGA #MAGA2020,Redistrict,RobertNRicher,0,FALSE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,bamma0,1961,TRUE
RT @LouDobbs: Drain the Swamp: @SidneyPowell1 says we must reelect @realDonaldTrump to take back the power the deep state has deprived him…,,realObaMAGAate,1961,TRUE
"RT @realDonaldTrump: THANK YOU NORTH CAROLINA, ON MY WAY! #MAGA https://t.co/mrEQfAV7CD",,AnaPerry11,24413,TRUE
"RT @matteosalvinimi: Amici, chi vincerà secondo voi negli Stati Uniti??? 🇺🇸🇮🇹
#Trump2020 #MAGA #MAGA2020
#Elections2020 #VOTE https://t.co/…",,atestaltasempre,303,TRUE
"The wall is crumbling...
#CrookedJoeBiden
#JoeBidenUkraineScandal
#MAGA #FoxNews 
#HunterBidensEmails https://t.co/mVxfVi2boO",,_ChuckKane,1,FALSE
RT @realDonaldTrump: THANK YOU! #MAGA https://t.co/nGfbRmfmG7,,ShanthaDevi7,17936,TRUE
